id,clipid,cliptitle,clipurl,clipviews,clipimg,clippostdate,created_at,updated_at
70,-TV_9TfRn4Q,【ホロライブ 切り抜き】マイクラ突発コラボ～桃鈴ねね爆破編～【獅白ぼたん/角巻わため】,https://www.youtube.com/watch?v=cQbJi384QmQ,1892,http://img.youtube.com/vi/cQbJi384QmQ/hqdefault.jpg,2021-04-03 21:50:56,2021-06-12 12:00:00,2021-06-12 12:00:00
71,K1f_PMcw_34,【複数視点同時進行】ぺこランドで遊ぶ桃鈴ねねを見守る獅白ぼたんと角巻わため 【獅白ぼたん、角巻わため、桃鈴ねね】【切り抜き】,https://www.youtube.com/watch?v=pIg6SfuoWSg,1804,http://img.youtube.com/vi/pIg6SfuoWSg/hqdefault.jpg,2021-04-03 21:32:11,2021-06-12 12:00:00,2021-06-12 12:00:00
72,RnEywnxQs_w,【ホロライブ切り抜き】わため、ししろんが見守る中ぺこランドで6人目の犠牲者が発生【獅白ぼたん/桃鈴ねね/角巻わため/hololive】,https://www.youtube.com/watch?v=JthvKOwz9WQ,120082,http://img.youtube.com/vi/JthvKOwz9WQ/hqdefault.jpg,2021-04-03 18:45:10,2021-06-12 12:00:00,2021-06-12 12:00:00
73,prnKaf4J6S4,麺屋ぼたんで何かの肉と合挽きにされていることを知り、最終的に桃鈴ねねの脇水をペロペロする角巻わため【ホロライブ切り抜き】,https://www.youtube.com/watch?v=nBRvkf8PU6E,64225,http://img.youtube.com/vi/nBRvkf8PU6E/hqdefault.jpg,2021-04-03 17:54:46,2021-06-12 12:00:00,2021-06-12 12:00:00
74,OsJORle2NW0,【さくらみこ】絶対に押してはいけないスイッチを押してしまった結果【桃鈴ねね】【切り抜き/ホロライブ】,https://www.youtube.com/watch?v=-TV_9TfRn4Q,364,http://img.youtube.com/vi/-TV_9TfRn4Q/hqdefault.jpg,2021-04-03 11:00:01,2021-06-12 12:00:00,2021-06-12 12:00:00
75,fKy0ALggEz4,堂々と「た○きん」と言い放つ、ねねち【桃鈴ねね 切り抜き】,https://www.youtube.com/watch?v=K1f_PMcw_34,1689,http://img.youtube.com/vi/K1f_PMcw_34/hqdefault.jpg,2021-04-02 16:42:47,2021-06-12 12:00:00,2021-06-12 12:00:00
76,-xpVbks_uyY,絶対作れるガイドブック通りに作れなくて発狂するねねち【桃鈴ねね/ホロライブ/切り抜き】,https://www.youtube.com/watch?v=RnEywnxQs_w,10443,http://img.youtube.com/vi/RnEywnxQs_w/hqdefault.jpg,2021-04-01 0:17:20,2021-06-12 12:00:00,2021-06-12 12:00:00
77,3vqIxebv0KA,【紫咲シオン/桃鈴ねね】新旧クソガキ初接触2人ともコミュ障で「マジで空気がやばかった」【切り抜き/ホロライブ】,https://www.youtube.com/watch?v=prnKaf4J6S4,219273,http://img.youtube.com/vi/prnKaf4J6S4/hqdefault.jpg,2021-03-31 22:40:06,2021-06-12 12:00:00,2021-06-12 12:00:00
78,PxRGN2KmVBI,【両視点】マブダチになった桃鈴ねねと紫咲シオン【ホロライブ/切り抜き】,https://www.youtube.com/watch?v=OsJORle2NW0,11230,http://img.youtube.com/vi/OsJORle2NW0/hqdefault.jpg,2021-03-31 19:13:37,2021-06-12 12:00:00,2021-06-12 12:00:00
79,BaMSqgQahjQ,ねねちの『空気読み。3』面白可愛いリアクション11分まとめ！【桃鈴ねね／ホロライブ5期生】,https://www.youtube.com/watch?v=fKy0ALggEz4,22307,http://img.youtube.com/vi/fKy0ALggEz4/hqdefault.jpg,2021-03-31 4:56:22,2021-06-12 12:00:00,2021-06-12 12:00:00
